level,group_name,count,mae,rmse,mape,mean_actual_value_per_area,mean_predicted_value_per_area
district,Howrah,20533,90.7095467726044,276.9825935612928,16.415161476822064,790.0571309361532,765.68666779673
district,Paschim Bardhaman,15660,207.9009053631458,466.61249845571297,9.07796132509908,2551.8249908571356,2497.849386345037
district,Purba Bardhaman,23295,152.53212737614626,404.0497837716386,13.472428573000569,1365.0402984842033,1322.320620188788
mouza,Alamganj,322,186.5372701194901,549.6036118586741,12.72484547393143,1388.6052711078137,1300.8638760391846
mouza,Alampur,463,137.56473783608914,372.82870592909285,18.878421820831484,948.8335262363184,927.1268492665117
mouza,Argori,977,77.7367510583559,256.9508210082003,17.397195103996395,733.8574434966719,710.990479362946
mouza,Arrah,2371,313.9118833781153,654.850574541422,13.397210488403447,2738.517708517858,2657.70007017355
mouza,Baburbag,36,179.218582004893,267.08219946491835,13.465868132869153,1789.7721817651786,1716.219230688478
mouza,Bahirsarbamangala,1901,168.6034898858592,438.0610847365835,13.945084116054165,1361.5206083954988,1315.0967945870038
mouza,Balidanga,1279,187.3434252340038,459.85418479895924,18.21952624333623,1344.7864226959878,1305.500572909606
mouza,Bamunara,8212,154.33921781719334,355.1393799088112,6.804825126379608,2523.9299859342836,2489.0682603792898
mouza,Bangpur,282,156.2310985560205,377.29397734251813,14.84264860786565,1350.0606776330806,1319.5615287845737
mouza,Becharhat,470,157.09154616492373,370.22996228110344,11.27753953096167,1502.1191992543975,1445.6344436326885
mouza,Belkulai,240,87.39542481280533,268.40197632455113,14.942443904699479,676.780535156178,652.3856382603611
mouza,Bhagabatipur,1114,95.21417501755315,328.10618782034464,15.701099598723781,715.6274305786711,695.6620013438795
mouza,Bhatchala,253,165.77544357154457,421.3757016758551,15.811922711398552,1304.0721043555204,1270.0287232709152
mouza,Bikihakola,918,68.340042441674,230.07267664364338,16.47444996358963,676.6720971011149,660.5369903748613
mouza,Burdwan,1474,188.73864668839988,463.73514952690545,16.952898689595013,1329.2820827712678,1285.203178085613
mouza,Chaturbhujkati,189,148.95482988855397,461.03346524654046,18.41854560486312,967.7586390566407,905.9532744252185
mouza,Dhamsiya,272,57.346407815622506,112.86295158478416,13.803174853837351,646.5380615134557,633.6779245215776
mouza,Dhulagori,1351,64.61451712070178,153.5630204728796,16.46136872802281,636.4073655447486,625.2396631163207
mouza,Fakirpur,193,106.76794174946825,213.44133327750697,14.016038003393106,984.3344603014408,964.1709255784061
mouza,Fuljhore,1949,299.5521605121426,578.3462983918839,12.928332711523746,2641.667949473964,2531.4330360827344
mouza,Gangadharpur,1282,72.62939250328138,192.79433155037796,15.70444426399598,714.3082979380763,693.1994952119259
mouza,Goda,2359,168.42054776930195,421.27990905337583,14.112865186912046,1395.2748870000373,1345.2318103365692
mouza,Gopalnagar,224,182.74645713091746,382.43973536623895,15.20463913268907,1383.944103126976,1328.0652710636134
mouza,Ichhlabad,1982,171.65300362857812,475.22981483256785,14.698445966979673,1424.563617264922,1371.4402340039192
mouza,Idilpur,62,171.96068406658634,385.0480770334516,11.933439391479135,1637.91070038711,1574.9835958629246
mouza,Jagatber,430,107.7137728812027,221.8280618345544,11.815852327037648,1192.7926552657145,1185.4095945321917
mouza,Jaladhulogori,1004,183.75572954630223,492.121206396523,17.821613309534907,1275.5472690278518,1203.7139280894226
mouza,Jangalpur,382,145.36370377289248,319.8255543694451,17.389716584619197,1471.4794794256852,1430.9036230749928
mouza,Jaynagar,1656,62.6724186580089,183.40576367094937,15.621977522612287,671.7682644948335,654.5971193528419
mouza,Kanainatshal,2709,110.8778824887555,287.5526883234821,12.053402157465472,1157.957155746497,1137.2242882169974
mouza,Kanchannagar,444,180.34519066198274,431.9476535501142,13.969412647015893,1342.5716631851483,1287.3153903580749
mouza,Kannduya,789,126.48427165094354,395.99986498090993,15.677663692749885,1019.4874012418453,972.9759562614255
mouza,Katrapota,3650,92.79203748840699,271.497424204585,7.684712653766833,1535.9550224973093,1509.970211098796
mouza,Khaje  Anwarber,306,157.82181439673883,468.1316576331382,15.062895781777799,1325.501710343838,1263.150433474421
mouza,Khargeswar,14,152.04501639762364,274.9832054836262,10.762933824430807,1699.064983450751,1595.3351858569847
mouza,Kulai,361,61.047763508837896,139.2739791537603,15.840263328693597,698.0420445393293,693.9539544256813
mouza,Lakurdi,260,176.63410674314852,473.2178251710046,11.122659469133236,1407.930963786029,1357.8297509279648
mouza,Mahishgot,139,56.2411776780543,183.0013814264425,13.702738443396925,664.2404245552249,643.2093752236723
mouza,Mallikbagan,2536,94.94059815090907,313.9061550408566,16.882983822096147,744.5630684030535,724.5073503158511
mouza,Mashila,872,82.6918254727666,261.9751654730416,16.89039207245982,688.281081272391,665.2817234739124
mouza,Mirchhoba,284,164.43543251456893,359.9263738018436,15.004707002721487,1269.7619586821647,1203.8620444947044
mouza,Mirjapur,396,109.55440100667644,273.4099892221487,15.688247764062213,1041.8052278315672,1000.786769737798
mouza,Nabghara,491,64.4305736495522,160.96974455441125,17.715406940784952,585.8920119199262,571.4637884832051
mouza,Nari,1826,173.21072648587403,442.4998791234132,14.350034545372825,1365.8312769279348,1311.0150859421542
mouza,Panchla,774,76.27558253406109,204.7383443835768,15.62814301596405,706.2328915470081,679.8822007729868
mouza,Paniara,1031,64.78141196003644,218.5669749977109,12.059853942795264,887.2486745842729,866.4633787238529
mouza,Radhanagar,1071,172.68621583705493,428.62705934243866,16.68713086276991,1336.9157343878128,1282.2499727934414
mouza,Ranihati,1221,99.42075484764268,277.68977080945405,19.160929679113508,769.1725955854898,734.4507531362628
mouza,Sadhanpur,1046,155.52561767674428,380.19622499541697,15.601957129911762,1246.6353091596898,1216.1808529015502
mouza,Sandhipur,305,129.98010219450583,267.35235829140356,14.007198515270794,1305.845985253731,1297.4820425611385
mouza,Sankarpur,2599,201.33162046655653,460.81718083139884,9.12531389391323,2396.116430615637,2355.6330854803196
mouza,Sankharipukur,418,254.61876302768408,723.4454699547767,17.708733837954988,1550.9804640723603,1426.8625180628685
mouza,Sankrailjala,603,70.11398616239848,163.49515768897723,19.798561366996818,547.7901427502239,545.6569314006462
mouza,Satghoriya,504,126.32336134321501,341.5360269487335,14.86465541403971,941.6960016293807,901.5693955683649
mouza,Shankkhali,257,85.49088911217996,241.23875293469763,19.491238889904228,742.4978245488901,721.0433257875923
mouza,Sulati,406,80.86030746542546,245.99269123055478,14.817540173274935,649.6116418680537,643.2604614987722
mouza,Tetikhola,529,258.83063015465723,538.3404801197015,10.587623970089606,2582.0858010203547,2492.689211830744
property_type,Flat,24184,203.54390260216945,526.7918695248825,5.769620366666408,2731.9616808792202,2677.011328623648
property_type,Land,35304,106.19186122153891,242.53217249387058,18.511248289577015,620.6853299666111,592.0230743229396
